FUNCIONALIDADE: 			X(NAO)|O(SIM); -- DATA -- QUEM DESENVOLVEU;
REGISTOS DE USER:					O; check -- JOEL
AUTENTICAÇÃO DE USER:				O; check -- JOEL
CRIAR ITEM:							O; check -- JOAO
LIST ITEMS:							O; check -- JOEL
CRIAR LEILÃO: 						O; check -- JOEL
LIST TODOS LEILÕES:					O; check -- JOAO
PESQUISAR LEILÕES:					O; check -- JOEL
CONSULTAR LEILÃO:					O; check -- JOEL
LIST LEILÕES COM USER:				O; check -- JOEL
EFETUAR LICITAÇÃO:					X; 
EDITAR LEILÃO:						X; check -- JOAO
MSG MURAL DO LEILÃO:				X; check -- JOAO
ENTREGA DE MSG A USERS:				X;
NOTIFICAR LICITAÇÃO ULTRAPASSADA:	X;
TÉRMINO DE LEILÃO:					X;
